Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Timestamp
-0.0824,-0.4852,-0.7874,-0.0076,-0.0012,1.0096,26.5999999999767
-0.1831,0.0092,-0.293,0.0049,-0.0177,0.9693,26.7000000000116
-0.9247,0.4303,-0.2106,-0.007,-0.0009,1.0028,26.7999999999884
-0.0641,-0.9522,0.293,-0.0098,-0.0113,1.0031,26.8999999999651
-0.9705,0.5768,0.8789,0.0055,-0.018,0.994,27
0.6958,1.3733,0.7416,-0.0125,-0.0186,1.03,27.0999999999767
-0.5402,-0.4303,0.6867,-0.0287,-0.0128,0.9281,27.2000000000116
1.8677,-0.0549,0.8057,-0.0046,-0.0046,1.0208,27.2999999999884
-0.5951,0.8423,0.6867,0,-0.0201,1.0236,27.3999999999651
0.2747,-0.0458,0.6317,-0.0262,-0.0259,1.0263,27.5
-0.293,-1.4557,0.8789,-0.0003,-0.0232,0.965,27.5999999999767
1.1444,2.06,0.7324,0.0174,-0.0229,1.0147,27.7000000000116
-0.1465,1.2635,0.6867,-0.0403,-0.0342,1.0108,27.7999999999884
0.2655,-1.5839,0.3296,-0.0189,-0.0095,0.9641,27.8999999999651
1.2726,0.4028,0.5402,0.0156,-0.0049,0.9662,28
0.65,1.7762,0.5219,-0.0104,-0.0223,1.0657,28.0999999999767
1.6938,-0.7324,0.6867,-0.0418,-0.0162,1.019,28.2000000000116
-0.3479,-0.8881,1.2726,0.0079,-0.0232,0.9796,28.2999999999884
-0.0549,1.6755,0.7416,-0.0006,-0.0116,0.9915,28.3999999999651
0.4852,1.2177,0.5676,-0.0391,-0.014,1.0022,28.5
-3.3967,-1.2177,0.1373,-0.0275,-0.0229,1.048,28.5999999999767
-0.1556,-0.4486,-0.0732,0.0015,-0.0339,0.9314,28.7000000000116
-1.41,-1.7487,0.1282,-0.0092,-0.0073,1.0062,28.7999999999884
-1.1078,-0.4395,-0.3388,0.0076,-0.0128,0.9793,28.8999999999651
-1.3733,1.6572,-0.2197,0.0104,-0.032,0.9903,29
1.1719,0.7965,-0.0366,-0.0186,-0.0082,1.0102,29.0999999999767
1.0437,-0.705,-0.1373,-0.0415,-0.0204,0.998,29.2000000000116
0.7691,-0.9247,-0.2106,0.0089,-0.0079,1.0016,29.2999999999884
0.4761,1.5564,0.3845,0.0006,-0.0174,0.9906,29.3999999999651
-0.7233,0.1465,0.5676,-0.0406,-0.0092,1.0382,29.5
-0.6317,-1.6938,0.5585,-0.0085,-0.0156,0.9751,29.5999999999767
-0.2747,0.6958,0.586,0.0031,-0.0168,1.0092,29.7000000000116
0.7874,0.6867,0.6226,-0.0165,-0.0125,0.9815,29.7999999999884
0.7874,-0.7508,0.0458,-0.0281,-0.0024,1.0456,29.8999999999651
0.65,0.6867,0.174,0.0174,0.0003,0.9952,30
0.6043,1.1261,-0.3204,-0.0156,-0.0073,1.001,30.0999999999767
-0.412,-0.8698,-0.4761,-0.0183,0.004,1.0031,30.2000000000116
0.0092,-0.6775,-0.8148,0.022,0.0082,0.9919,30.2999999999884
-0.5768,2.6002,-0.531,0.0076,0.0122,1.0175,30.3999999999651
1.8036,1.3001,-0.586,-0.033,0.0021,0.9665,30.5
0,-2.9572,-1.1811,-0.0351,0.0168,1.0489,30.5999999999767
0.0183,0.6134,-0.9064,0.0406,-0.0153,0.951,30.7000000000116
0.531,2.0142,-0.7599,-0.0024,0.0095,1.0382,30.7999999999884
-0.9613,-0.5127,-0.7141,-0.0433,0.0034,1.0062,30.8999999999651
-1.0346,-1.3184,-0.8423,-0.0101,0.0134,1.0016,31
0.1648,-0.4028,-0.5402,0.0018,0.0107,0.94,31.0999999999767
0.6317,0.5585,0.1831,-0.015,0.0067,1.0541,31.2000000000116
-2.5178,-1.8677,-0.6226,-0.0171,-0.0128,1.0108,31.2999999999884
0,-0.7599,-0.4028,0.0192,-0.0024,0.9836,31.3999999999651
-0.0366,0.5127,-0.0183,-0.007,-0.0101,1.0007,31.5
-0.2106,-0.9247,-0.1282,-0.0122,-0.0238,0.9995,31.5999999999767
0.1923,-0.2106,0.0549,0.0089,-0.0189,0.9928,31.7000000000116
1.5015,-0.0275,0.1373,-0.0107,-0.0107,0.9754,31.7999999999884
0.8423,0.0641,0.2289,-0.0134,-0.004,1.0279,31.8999999999651
0.1648,-0.7599,0.1373,0.0031,-0.0223,1.0114,32
-0.2747,0.2747,0.1282,0.0027,-0.0104,1.005,32.0999999999767
0.7508,-0.3662,0.4669,-0.0241,0.0217,0.9876,32.2000000000116
-0.8606,-1.4191,0.4028,-0.0058,0.0323,1.037,32.2999999999884
-0.2564,0.4944,0.4578,0.0046,0.0201,0.9854,32.3999999999651
0.412,-0.0732,0.2564,-0.018,0.0095,0.9766,32.5
0.2838,-0.6958,0.4669,-0.0122,0.0165,1.0059,32.5999999999767
0.5951,0.0916,0.0641,0.0162,0.0259,1.019,32.7000000000116
-0.3754,0.2106,0.2289,-0.0107,0.0226,0.9897,32.7999999999884
0.238,-0.5402,0.412,-0.0119,0.0076,1.0004,32.8999999999651
-0.9522,-0.2472,0.3113,0,0.0095,1.0047,33
-1.3459,0.4578,0.1007,0.0171,0.0064,0.9799,33.0999999999767
-0.0458,0.0275,0.4486,-0.0119,0.0168,0.9696,33.2000000000116
-0.238,-0.7874,0.3296,-0.0067,0.0217,1.0062,33.2999999999884
-1.7487,0.1648,0.2655,0.0043,0.0049,0.9983,33.3999999999651
-0.1556,-0.1465,0.3388,-0.0113,-0.0058,0.9772,33.5
-0.8972,-0.4944,0.3204,-0.0006,-0.0092,1.0147,33.5999999999767
-1.8952,0.6775,-0.0183,0.0079,0.0049,1.0211,33.7000000000116
-1.236,0.4761,0.0824,-0.0092,-0.0131,0.9507,33.7999999999884
1.5564,-0.6409,0.1831,-0.0098,0.0061,1.0163,33.8999999999651
-0.412,-0.2838,0.0183,0.0122,-0.0061,1.0157,34
0.4486,0.5493,0.2747,0.0061,-0.0159,0.9781,34.0999999999767
1.6114,-1.5015,0.5585,0.0009,-0.007,0.8933,34.2000000000116
0.6867,0.4395,0.4028,-0.0043,0.0204,1.1319,34.2999999999884
-2.179,0.5676,0,0,-0.0189,0.9592,34.3999999999651
2.0783,-0.7691,0.3296,-0.0134,0.0079,0.9912,34.5
0.412,-0.3845,0.1831,-0.0058,-0.0009,1.0224,34.5999999999767
-0.8881,0.2838,-0.0824,0.0143,-0.0067,1.0016,34.7000000000116
1.3733,-0.4486,0.3296,-0.0055,0.0015,0.9821,34.7999999999884
1.5656,0.4669,0.2289,0,0.0174,1.03,34.8999999999651
0.0549,1.236,0.2564,0.007,0.0171,1.0007,35
0.4212,0.1923,0.3937,-0.0192,0.0278,0.9803,35.0999999999767
1.5015,0.0092,0.531,-0.004,0.0241,1.0303,35.2000000000116
-1.9501,0.9888,0.3662,0.0073,0.011,1.0242,35.2999999999884
