Yaw,Pitch,Raw,Timestamp
56.72,0.26,0.32,307.500999999989
56.75,0.37,0.07,307.600999999966
56.7,0.58,0.46,307.701000000001
56.75,0.51,0.46,307.800999999978
56.82,0.07,0.24,307.901000000013
56.86,0.39,0.26,308.000999999989
56.79,0.41,0.46,308.100999999966
56.86,0.58,0.43,308.201000000001
56.91,0.7,0.26,308.300999999978
56.95,0.22,0.28,308.401000000013
56.98,0.21,0.36,308.500999999989
56.95,0.57,0.39,308.600999999966
56.96,0.5,0.53,308.701000000001
57.01,0.58,0.3,308.800999999978
57.03,0.48,0.27,308.901000000013
57,0.38,0.56,309.000999999989
56.93,0.54,0.5,309.100999999966
56.89,0.46,0.22,309.201000000001
56.89,0.39,0.53,309.300999999978
56.92,0.41,0.65,309.401000000013
56.96,0.55,0.43,309.500999999989
57.01,0.88,0.4,309.600999999966
57.11,0.66,0.28,309.701000000001
57.23,0.39,0.3,309.800999999978
57.32,0.37,0.27,309.901000000013
57.34,0.66,0.36,310.000999999989
57.39,0.66,0.45,310.100999999966
57.47,0.57,0.37,310.201000000001
57.57,0.08,0.2,310.300999999978
57.56,0.33,0.59,310.401000000013
57.61,0.44,0.81,310.500999999989
57.75,0.62,0.46,310.600999999966
57.87,0.31,0.25,310.701000000001
57.93,0.35,0.34,310.800999999978
57.94,0.64,0.74,310.901000000013
58.09,0.12,0.47,311.000999999989
58.2,0.29,0.27,311.100999999966
58.22,0.26,0.22,311.201000000001
58.22,0.59,0.43,311.300999999978
58.27,0.64,0.46,311.401000000013
58.32,0.49,0.44,311.500999999989
58.45,0.5,0.22,311.600999999966
58.47,0.71,0.15,311.701000000001
58.46,0.54,0.44,311.800999999978
58.58,0.3,0.38,311.901000000013
58.58,0.41,0.23,312.000999999989
58.49,0.6,0.45,312.100999999966
58.53,0.68,0.38,312.201000000001
58.51,0.34,0.41,312.300999999978
58.48,0.19,0.26,312.401000000013
58.42,0.28,0.26,312.500999999989
58.31,0.58,0.48,312.600999999966
58.27,0.59,0.39,312.701000000001
58.31,0.39,0.04,312.800999999978
58.25,0.61,0.36,312.901000000013
58.14,0.64,0.49,313.000999999989
58.12,0.44,0.26,313.100999999966
58.08,0.28,0.14,313.201000000001
58.05,-0.25,0.23,313.300999999978
57.97,-0.19,0.4,313.401000000013
57.82,0.51,0.28,313.500999999989
57.82,0.43,0.09,313.600999999966
57.85,0.33,0.15,313.701000000001
57.77,0.16,0.12,313.800999999978
57.77,0.28,0.12,313.901000000013
57.76,0.27,-0.07,314.000999999989
57.76,0.42,-0.03,314.100999999966
57.87,0.51,0.04,314.201000000001
57.92,0.45,0.2,314.300999999978
58.01,0.33,0.03,314.401000000013
58.04,0.52,-0.29,314.500999999989
58.03,0.68,-0.1,314.600999999966
58.12,0.54,0.24,314.701000000001
58.17,0.54,0.11,314.800999999978
58.26,0.5,-0.06,314.901000000013
58.29,0.55,-0.12,315.000999999989
58.27,0.26,0.06,315.100999999966
58.25,0.58,0.03,315.201000000001
58.21,0.73,0.23,315.300999999978
58.31,0.35,0.26,315.401000000013
58.31,0.68,0,315.500999999989
58.33,0.72,0.03,315.600999999966
58.34,0.5,0.18,315.701000000001
58.15,0.93,0.41,315.800999999978
58.08,0.6,0.25,315.901000000013
57.9,0.61,0.06,316.000999999989
57.71,0.68,0.49,316.100999999966
57.62,0.58,0.74,316.201000000001
57.57,0.5,0.36,316.300999999978
57.55,0.38,-0.11,316.401000000013
57.33,0.65,0.15,316.500999999989
57.08,0.35,0.44,316.600999999966
56.95,0.46,0.5,316.701000000001
56.85,0.21,0.43,316.800999999978
56.74,0.24,0.18,316.901000000013
56.59,0.79,0.05,317.000999999989
56.55,0.51,-0.03,317.100999999966
56.5,-0.02,0.1,317.201000000001
56.34,0.28,0.17,317.300999999978
56.19,0.47,0.2,317.401000000013
56.09,0.44,0.29,317.500999999989
